r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
7.852272727272726627e-01,-3.685711794854238832e+00,3.251126382047372232e+01,1.128852671186923728e-01,4.311220392333861007e+00,9.837487652790776194e-01,1.245715632437950499e-01,1.209396270991565547e+00,3.289152308531132007e+01,0.000000000000000000e+00,3.289152308531132007e+01,1.311495080861357021e+00,3.181064601445047213e-01,-3.685711794854238832e+00,9.580863306841187477e-01,1.252652749817373574e-02,0.000000000000000000e+00
8.056818181818181657e-01,-3.724237513973925218e+00,3.335498022009853969e+01,1.111940660505014444e-01,4.280212099105030532e+00,1.022872031906856272e+00,1.277863193533875508e-01,1.225659933050206707e+00,3.374832108174489775e+01,0.000000000000000000e+00,3.374832108174489775e+01,1.424934108344356298e+00,3.684951863204854461e-01,-3.724237513973925218e+00,9.550289129717560721e-01,1.250296119531982449e-02,0.000000000000000000e+00
8.261363636363636687e-01,-3.758098973737007853e+00,3.418614795460709388e+01,1.094908177290953161e-01,4.249894062640158232e+00,1.061393837388153072e+00,1.307813761889398685e-01,1.240871350351937741e+00,3.460511907817848254e+01,0.000000000000000000e+00,3.460511907817848254e+01,1.552914042295489017e+00,4.127891583944106046e-01,-3.758098973737007853e+00,9.520395545763196132e-01,1.247991948760652017e-02,0.000000000000000000e+00
8.465909090909090606e-01,-3.781297100435352831e+00,3.498628485212996964e+01,1.076615063020040786e-01,4.226798910083352290e+00,1.098830786641121771e+00,1.333685026217865943e-01,1.255230289008858247e+00,3.546191707461206022e+01,0.000000000000000000e+00,3.546191707461206022e+01,1.714809820609741520e+00,4.408331281674615632e-01,-3.781297100435352831e+00,9.497623725342185796e-01,1.246236717166334870e-02,0.000000000000000000e+00
8.670454545454544526e-01,-3.765699097079394875e+00,3.567905397733029815e+01,1.051543907458123983e-01,4.242539073460544152e+00,1.133990277277843184e+00,1.347417089851039584e-01,1.270198348848434300e+00,3.631871507104563790e+01,0.000000000000000000e+00,3.631871507104563790e+01,1.992851230736935708e+00,4.119561852274864489e-01,-3.765699097079394875e+00,9.513143526432096264e-01,1.247432969583001441e-02,0.000000000000000000e+00
8.874999999999999556e-01,-3.450197567285139044e+00,3.550980719820084630e+01,9.685779281989530254e-02,4.589992142188401125e+00,1.151465173784381291e+00,1.269664727959847750e-01,1.295758224273817927e+00,3.717551306747922268e+01,0.000000000000000000e+00,3.717551306747921558e+01,3.118045749253393062e+00,-1.231869113602012122e-01,-3.450197567285139044e+00,9.849252817960199025e-01,1.276899135640724263e-02,0.000000000000000000e+00
9.079545454545454586e-01,-3.728804288451954108e+00,4.016855987750115276e+01,9.256365449257972222e-02,4.708121168244765897e+00,1.475283855404665445e+00,1.562482520259295959e-01,1.467526582091815524e+00,3.803231106391280036e+01,0.000000000000000000e+00,3.803231106391280036e+01,1.736697918364633608e+00,3.469410665831389906e+00,-3.728804288451954108e+00,9.957222747775715810e-01,1.289893328506924383e-02,0.000000000000000000e+00
9.284090909090908506e-01,-2.961485934332062087e+00,4.006064061672574894e+01,7.379085184243105999e-02,5.655816552986103751e+00,1.558764105634155905e+00,1.377258409847796905e-01,1.554522901095326315e+00,3.888910906034637094e+01,0.000000000000000000e+00,3.888910906034637094e+01,1.777326538546012635e+00,2.378908074346950841e+00,-2.961485934332062087e+00,1.069224765020791335e+00,1.532955256030550661e-02,0.000000000000000000e+00
9.488636363636363535e-01,-6.728661659049011590e+00,5.956396192611564544e+01,1.124884370641779791e-01,3.310701265687992390e+00,2.740302664143867251e+00,3.483107665027591615e-01,1.838965283810398921e+00,3.974590705677995572e+01,0.000000000000000000e+00,3.974590705677995572e+01,-7.746236103287598596e+00,1.841162712781197186e+01,-6.728661659049011590e+00,8.556964744160647784e-01,1.192942440502015727e-02,0.000000000000000000e+00
9.693181818181817455e-01,-1.374571487170821271e+01,9.245082668287361116e+01,1.476000777416086873e-01,1.171045466347163000e+00,4.606508547470006931e+00,7.856855152864566927e-01,1.994872482375044775e+00,4.060270505321353340e+01,0.000000000000000000e+00,4.060270505321354051e+01,-2.514842253201361189e+01,4.534960544116887604e+01,-1.374571487170821271e+01,6.010200924905197972e-01,1.282421453884558839e-02,0.000000000000000000e+00
