r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w,  misc
9.173469387755102122e-01,5.104242201549254787e+00,4.426516370543279066e+01,-1.148035533111305684e-01,1.653609241116626549e+01,1.344834450814711424e+00,1.347508780353162683e-01,1.317166356944200700e+00,3.842573871533637941e+01,0.000000000000000000e+00,3.842573871533637941e+01,-5.582282214567837464e+00,3.519855040616376662e+00,5.104242201549254787e+00,0.000000000000000000e+00
9.357142857142857206e-01,1.097800313826842178e+01,4.780901252161481807e+01,-2.257093909399602583e-01,2.277594549732806684e+01,1.624111325465043221e+00,-1.793140243524943278e-02,1.437830417478643819e+00,3.919510834478693795e+01,0.000000000000000000e+00,3.919510834478693795e+01,-2.567068929304358704e+00,8.464381853168239545e+00,1.097800313826842178e+01,0.000000000000000000e+00
9.540816326530612290e-01,1.655925735937754695e+01,3.181984775502688478e+01,-4.798392602002863327e-01,3.722193112082281630e+01,8.310669044161358432e-01,-2.256889026886931826e-01,1.042507990051231292e+00,3.996447797423750359e+01,0.000000000000000000e+00,3.996447797423750359e+01,3.617688645322408547e+01,1.148212623318902459e+01,1.655925735937754695e+01,0.000000000000000000e+00
9.724489795918367374e-01,-4.294641905068788290e+00,7.106383160279886368e+00,5.436015068146599072e-01,-2.153148874409873770e+01,1.921299605232299965e-02,1.248132758372958243e-02,1.225703338456115010e-01,4.073384760368806923e+01,0.000000000000000000e+00,4.073384760368806212e+01,2.741192991462504125e+01,-2.300336618191664328e+01,-4.294641905068788290e+00,0.000000000000000000e+00
9.908163265306122458e-01,-6.148686899687541896e+00,1.986501662757226327e+01,3.001707701015350338e-01,-7.698518260009674208e+00,1.346487334993447249e-01,4.652469914698710574e-02,3.043162033942126143e-01,4.150321723313862776e+01,0.000000000000000000e+00,4.150321723313862776e+01,1.200835989864063258e+01,-1.805261206879965385e+01,-6.148686899687541896e+00,0.000000000000000000e+00
1.091836734693877597e-01,-1.125417024625460005e+00,4.501576492729705059e+00,2.449834512879803805e-01,9.634821906499322353e-01,1.333176050798314319e-02,3.655292638051099458e-03,1.323743022247522161e-01,4.573475019511672457e+00,0.000000000000000000e+00,4.573475019511672457e+00,3.468623285818155377e-01,-1.172397911946394949e-01,-1.125417024625460005e+00,0.000000000000000000e+00
1.275510204081632681e-01,-1.176580642392036857e+00,5.247355611293556876e+00,2.205752722372616159e-01,2.247384502522415062e+00,2.321690072657488918e-02,5.608016668605510756e-03,1.973715856554327241e-01,5.342844648962233656e+00,0.000000000000000000e+00,5.342844648962233656e+00,4.096146422985165181e-01,-1.262298807897221098e-01,-1.176580642392036857e+00,0.000000000000000000e+00
1.459183673469388043e-01,-1.252766622997718349e+00,5.990743504499182137e+00,2.061463899140374423e-01,2.959515229400746961e+00,3.314174665922732521e-02,7.432875482899095089e-03,2.466204697169288584e-01,6.112214278412796631e+00,0.000000000000000000e+00,6.112214278412795743e+00,4.713842312742934082e-01,-1.318914447825641489e-01,-1.252766622997718349e+00,0.000000000000000000e+00
1.642857142857143127e-01,-1.347411848594649797e+00,6.732505552269871352e+00,1.975256283598077200e-01,3.338865149313416936e+00,4.357641363528945433e-02,9.353050626616855531e-03,2.884711310343845425e-01,6.881583907863357830e+00,0.000000000000000000e+00,6.881583907863358718e+00,5.289239150092548414e-01,-1.332335072469313930e-01,-1.347411848594649797e+00,0.000000000000000000e+00
1.826530612244898211e-01,-1.452969675414077511e+00,7.473658151196758581e+00,1.920168637912255116e-01,3.539910776091048206e+00,5.462985970795467688e-02,1.139684551879312051e-02,3.257381774437302369e-01,7.650953537313919028e+00,0.000000000000000000e+00,7.650953537313919028e+00,5.786836307220715181e-01,-1.293800721713760926e-01,-1.452969675414077511e+00,0.000000000000000000e+00
2.010204081632653295e-01,-1.564903422442834646e+00,8.215502926732876077e+00,1.882268757968554584e-01,3.642477759240371427e+00,6.634321090577120772e-02,1.357186028839019350e-02,3.598347009017491827e-01,8.420323166764479339e+00,0.000000000000000000e+00,8.420323166764481115e+00,6.177860957529588415e-01,-1.201729272491185302e-01,-1.564903422442834646e+00,0.000000000000000000e+00
2.193877551020408379e-01,-1.680882149388235547e+00,8.959367074482878834e+00,1.854558608711205370e-01,3.686661886119406262e+00,7.876499802426807639e-02,1.588249204717899141e-02,3.917206596462852741e-01,9.189692796215043202e+00,0.000000000000000000e+00,9.189692796215041426e+00,6.448319040426246929e-01,-1.063366384943499193e-01,-1.680882149388235547e+00,0.000000000000000000e+00
2.377551020408163462e-01,-1.798819270133615422e+00,9.706227746550432300e+00,1.832472492490072047e-01,3.698622677316709684e+00,9.194656484543176078e-02,1.832822430661732241e-02,4.220765869355334043e-01,9.959062425665603513e+00,0.000000000000000000e+00,9.959062425665603513e+00,6.600522240660136042e-01,-8.913298914848957755e-02,-1.798819270133615422e+00,0.000000000000000000e+00
